Joints
100
,,nathaniel:Thigh_Shank,,,nathaniel:World_Thigh,,,,,,
Frame,Sub Frame,RX,RY,RZ,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,deg,deg,deg,mm,mm,mm
1,0,26.2107,27.1773,-69.5296,73.8767,-11.0152,-46.3254,-74.0458,733.385,248.083
2,0,25.7043,27.0733,-68.1744,75.014,-10.4603,-46.959,-73.9859,733.458,249.438
3,0,25.7102,27.0862,-68.2251,74.9841,-10.5078,-46.94,-74.0511,733.404,249.371
4,0,25.7101,27.0855,-68.2243,74.9927,-10.5298,-46.9312,-74.1251,733.406,249.321
5,0,25.7144,27.0847,-68.2211,75.0031,-10.546,-46.9211,-74.195,733.41,249.263
6,0,25.6801,27.0409,-68.1818,75.0057,-10.5565,-46.9221,-74.2956,733.407,249.193
7,0,25.6897,27.0506,-68.1914,75.0097,-10.5718,-46.9146,-74.3842,733.424,249.134
8,0,25.6979,27.0641,-68.2031,75.0117,-10.5951,-46.9045,-74.4693,733.437,249.064
9,0,25.6956,27.0662,-68.2055,75.0124,-10.602,-46.8937,-74.5579,733.435,248.993
10,0,25.7021,27.0746,-68.21,75.0203,-10.6135,-46.8802,-74.6271,733.426,248.945
11,0,25.699,27.0724,-68.2114,75.0277,-10.6252,-46.8688,-74.6705,733.402,248.925
12,0,25.699,27.0724,-68.2114,75.0277,-10.6252,-46.8688,-74.6705,733.402,248.925
13,0,25.7016,27.0659,-68.1926,75.0394,-10.632,-46.8614,-74.7831,733.395,248.913
14,0,25.7029,27.0659,-68.1897,75.0387,-10.6448,-46.8586,-74.8378,733.39,248.894
15,0,25.6937,27.0533,-68.175,75.0397,-10.6514,-46.854,-74.9014,733.383,248.855
16,0,25.6937,27.0533,-68.175,75.0397,-10.6514,-46.854,-74.9014,733.383,248.855
17,0,25.6936,27.0403,-68.1694,75.0404,-10.6494,-46.8478,-74.9853,733.343,248.801
18,0,25.6936,27.0403,-68.1694,75.0404,-10.6494,-46.8478,-74.9853,733.343,248.801
19,0,25.6817,27.0453,-68.1714,75.0298,-10.657,-46.8515,-75.0418,733.256,248.827
20,0,25.6817,27.0453,-68.1714,75.0298,-10.657,-46.8515,-75.0418,733.256,248.827
21,0,25.6789,27.0448,-68.1804,75.0282,-10.6641,-46.8411,-75.0913,733.207,248.788
22,0,25.6731,27.0368,-68.1711,75.0352,-10.6627,-46.8375,-75.1183,733.207,248.747
23,0,25.681,27.0371,-68.1656,75.0468,-10.6702,-46.8377,-75.1225,733.191,248.719
24,0,25.681,27.0371,-68.1656,75.0468,-10.6702,-46.8377,-75.1225,733.191,248.719
25,0,25.685,27.0333,-68.1752,75.0365,-10.6803,-46.8512,-75.117,733.08,248.702
26,0,25.685,27.0333,-68.1752,75.0365,-10.6803,-46.8512,-75.117,733.08,248.702
27,0,25.6639,27.0118,-68.1509,75.0585,-10.6693,-46.8447,-75.1135,733.014,248.692
28,0,25.6542,26.9921,-68.1325,75.0673,-10.6623,-46.853,-75.1052,733.017,248.666
29,0,25.6542,26.9921,-68.1325,75.0673,-10.6623,-46.853,-75.1052,733.017,248.666
30,0,25.6542,26.9921,-68.1325,75.0673,-10.6623,-46.853,-75.1052,733.017,248.666
31,0,25.6567,26.9739,-68.1211,75.0732,-10.6579,-46.8751,-75.0264,733.028,248.629
32,0,25.6567,26.9739,-68.1211,75.0732,-10.6579,-46.8751,-75.0264,733.028,248.629
33,0,25.6698,26.9756,-68.1188,75.0884,-10.6638,-46.873,-74.9412,733.052,248.639
34,0,25.6698,26.9756,-68.1188,75.0884,-10.6638,-46.873,-74.9412,733.052,248.639
35,0,25.6745,26.9899,-68.1223,75.0774,-10.6549,-46.8825,-74.9203,733.094,248.638
36,0,25.6745,26.9899,-68.1223,75.0774,-10.6549,-46.8825,-74.9203,733.094,248.638
37,0,25.6729,26.9892,-68.1139,75.0682,-10.6449,-46.8933,-74.8553,733.147,248.642
38,0,25.6598,26.9634,-68.1032,75.0569,-10.6479,-46.9036,-74.7907,733.158,248.669
39,0,25.6711,26.9833,-68.1246,75.0511,-10.6521,-46.8993,-74.716,733.183,248.708
40,0,25.6768,26.983,-68.1239,75.0419,-10.6584,-46.912,-74.6296,733.234,248.75
41,0,25.6895,26.9942,-68.1392,75.0248,-10.6806,-46.9276,-74.5285,733.288,248.774
42,0,25.6859,26.9791,-68.1317,75.0117,-10.701,-46.9536,-74.4195,733.348,248.778
43,0,25.7008,26.9836,-68.1475,75.0007,-10.7368,-46.964,-74.2723,733.392,248.778
44,0,25.6984,26.9659,-68.1427,74.9865,-10.7691,-46.9906,-74.1216,733.438,248.789
45,0,25.7057,26.9515,-68.1367,74.9858,-10.8175,-47.0064,-73.9467,733.507,248.825
46,0,25.7069,26.931,-68.1227,74.9819,-10.8569,-47.0232,-73.8046,733.6,248.886
47,0,25.7081,26.9011,-68.0948,74.9823,-10.8862,-47.0447,-73.7046,733.716,248.929
48,0,25.6955,26.8443,-68.049,74.9808,-10.9252,-47.0632,-73.621,733.847,248.92
49,0,25.7015,26.7985,-68.0161,75.0035,-10.9871,-47.0581,-73.5255,734.013,248.914
50,0,25.699,26.7492,-67.9767,75.0301,-11.0498,-47.0544,-73.452,734.169,248.923
51,0,25.696,26.6936,-67.9268,75.0681,-11.1123,-47.0382,-73.4131,734.354,248.951
52,0,25.6916,26.6182,-67.8538,75.1188,-11.144,-47.0251,-73.4307,734.569,249.008
53,0,25.6952,26.5561,-67.7793,75.1775,-11.161,-47.0014,-73.512,734.768,249.041
54,0,25.683,26.4896,-67.701,75.2249,-11.1694,-46.9837,-73.6341,734.921,249.021
55,0,25.6657,26.4362,-67.6414,75.2586,-11.1923,-46.9604,-73.787,735.016,248.952
56,0,25.6539,26.4086,-67.5966,75.2795,-11.2036,-46.9451,-73.9959,735.073,248.855
57,0,25.6755,26.423,-67.6071,75.3029,-11.2524,-46.8982,-74.1823,735.094,248.746
58,0,25.6622,26.4114,-67.598,75.3035,-11.3019,-46.868,-74.3759,735.06,248.6
59,0,25.6508,26.41,-67.5965,75.3086,-11.3582,-46.8271,-74.5809,735.008,248.442
60,0,25.6237,26.395,-67.5869,75.3041,-11.4321,-46.7975,-74.8078,734.945,248.258
61,0,25.6201,26.4049,-67.5957,75.3124,-11.4916,-46.7513,-75.0773,734.945,248.075
62,0,25.6169,26.4127,-67.6026,75.3157,-11.566,-46.7205,-75.3387,734.958,247.862
63,0,25.5949,26.4014,-67.5837,75.3345,-11.639,-46.6785,-75.5899,735.01,247.67
64,0,25.5956,26.3864,-67.569,75.365,-11.6914,-46.6527,-75.843,735.12,247.532
65,0,25.5947,26.3728,-67.55,75.3972,-11.7444,-46.6286,-76.0604,735.204,247.415
66,0,25.5958,26.3649,-67.5435,75.4297,-11.7974,-46.6046,-76.2707,735.277,247.355
67,0,25.6005,26.3635,-67.546,75.4449,-11.844,-46.5905,-76.5104,735.347,247.282
68,0,25.5953,26.3694,-67.552,75.4568,-11.889,-46.5768,-76.7532,735.393,247.214
69,0,25.5791,26.3583,-67.5381,75.4806,-11.9349,-46.5637,-76.9813,735.449,247.137
70,0,25.5727,26.3558,-67.5383,75.4924,-11.9775,-46.5497,-77.186,735.495,247.049
71,0,25.5628,26.3567,-67.5351,75.4995,-12.0114,-46.5296,-77.3662,735.514,246.993
72,0,25.5625,26.3707,-67.5496,75.5001,-12.0392,-46.5136,-77.5437,735.531,246.98
73,0,25.5658,26.3837,-67.5607,75.4968,-12.0702,-46.4939,-77.7122,735.551,246.976
74,0,25.572,26.3899,-67.5714,75.4913,-12.0907,-46.474,-77.8979,735.586,246.947
75,0,25.583,26.4006,-67.5812,75.4812,-12.1033,-46.4566,-78.0789,735.629,246.868
76,0,25.5937,26.42,-67.5921,75.4801,-12.1319,-46.4284,-78.2286,735.643,246.776
77,0,25.5978,26.4286,-67.6045,75.4708,-12.1506,-46.4112,-78.3547,735.657,246.708
78,0,25.5956,26.4513,-67.6231,75.4496,-12.1682,-46.3939,-78.4443,735.626,246.687
79,0,25.5922,26.4655,-67.644,75.4238,-12.1831,-46.3811,-78.502,735.596,246.698
80,0,25.5883,26.4813,-67.6658,75.3974,-12.1924,-46.3756,-78.5158,735.586,246.71
81,0,25.5768,26.4892,-67.6842,75.3623,-12.1922,-46.3778,-78.5153,735.601,246.708
82,0,25.5828,26.5169,-67.7179,75.3165,-12.1901,-46.3846,-78.5054,735.647,246.683
83,0,25.5906,26.5488,-67.7546,75.2736,-12.1945,-46.3881,-78.4507,735.712,246.695
84,0,25.6048,26.5811,-67.7921,75.2333,-12.1956,-46.3955,-78.3617,735.786,246.746
85,0,25.6098,26.6014,-67.816,75.2006,-12.1918,-46.4128,-78.2421,735.849,246.837
86,0,25.6392,26.6421,-67.8546,75.1805,-12.1821,-46.417,-78.1054,735.91,246.973
87,0,25.6604,26.6726,-67.884,75.1528,-12.1613,-46.4332,-77.9723,735.956,247.105
88,0,25.6545,26.6763,-67.883,75.1294,-12.1254,-46.4619,-77.8488,736.015,247.262
89,0,25.654,26.6888,-67.8945,75.0871,-12.0757,-46.5052,-77.7281,736.085,247.399
90,0,25.6267,26.6658,-67.8754,75.0579,-12.031,-46.5353,-77.5682,736.156,247.549
91,0,25.6089,26.6561,-67.8761,75.0061,-11.9894,-46.568,-77.3697,736.201,247.676
92,0,25.6015,26.6522,-67.8786,74.9646,-11.9638,-46.5822,-77.1245,736.239,247.82
93,0,25.6224,26.6847,-67.9167,74.9069,-11.9371,-46.5989,-76.8917,736.268,247.932
94,0,25.6539,26.7256,-67.9546,74.8605,-11.9097,-46.6146,-76.6725,736.317,248.052
95,0,25.6735,26.7508,-67.973,74.8198,-11.8798,-46.631,-76.4909,736.374,248.135
96,0,25.682,26.7625,-67.9874,74.7894,-11.852,-46.641,-76.3032,736.428,248.206
97,0,25.7147,26.8049,-68.0251,74.7818,-11.8388,-46.6249,-76.0926,736.452,248.281
98,0,25.7163,26.81,-68.0276,74.7757,-11.8133,-46.6439,-75.9086,736.445,248.381
99,0,25.7246,26.815,-68.0242,74.773,-11.7754,-46.6617,-75.7583,736.414,248.5
100,0,25.7168,26.8033,-68.0157,74.7682,-11.7444,-46.6799,-75.6193,736.354,248.604
101,0,25.6885,26.7624,-67.9885,74.754,-11.7097,-46.7169,-75.5244,736.295,248.67
102,0,25.696,26.7596,-67.9897,74.7663,-11.703,-46.7161,-75.4022,736.267,248.685
103,0,25.6663,26.707,-67.95,74.7576,-11.6866,-46.7523,-75.3232,736.263,248.671
104,0,25.6776,26.6923,-67.9339,74.7839,-11.694,-46.7434,-75.2337,736.306,248.655
105,0,25.6776,26.6923,-67.9339,74.7839,-11.694,-46.7434,-75.2337,736.306,248.655
106,0,25.6857,26.6147,-67.849,74.8424,-11.7433,-46.7429,-75.0885,736.416,248.618
107,0,25.6948,26.5646,-67.7922,74.8954,-11.7729,-46.734,-75.0674,736.49,248.595
108,0,25.6698,26.478,-67.7079,74.9446,-11.794,-46.7355,-75.1161,736.566,248.548
109,0,25.6581,26.4072,-67.6242,75.0207,-11.8336,-46.7163,-75.1628,736.654,248.484
110,0,25.6407,26.3263,-67.528,75.1007,-11.8665,-46.7024,-75.2539,736.742,248.417
111,0,25.6219,26.2563,-67.4491,75.1639,-11.9027,-46.6872,-75.3629,736.798,248.339
112,0,25.5828,26.1867,-67.3791,75.2121,-11.9535,-46.6665,-75.4812,736.798,248.246
113,0,25.5333,26.1108,-67.3095,75.243,-11.9997,-46.6549,-75.6222,736.792,248.132
114,0,25.5096,26.0714,-67.2696,75.256,-12.0495,-46.633,-75.7953,736.803,247.979
115,0,25.5049,26.0497,-67.2406,75.2713,-12.1101,-46.6044,-75.9765,736.854,247.801
116,0,25.5064,26.0134,-67.192,75.2995,-12.1671,-46.5766,-76.1756,736.968,247.608
117,0,25.5128,25.9747,-67.1253,75.3427,-12.2269,-46.5512,-76.3655,737.094,247.409
118,0,25.5024,25.9135,-67.0568,75.3929,-12.3,-46.516,-76.5282,737.199,247.238
119,0,25.4894,25.8584,-67.0016,75.4494,-12.371,-46.4924,-76.7077,737.273,247.124
120,0,25.4785,25.8149,-66.9453,75.5089,-12.4171,-46.4784,-76.8986,737.344,247.023
121,0,25.4566,25.766,-66.8878,75.5688,-12.4787,-46.4577,-77.0726,737.397,246.944
122,0,25.4382,25.725,-66.8459,75.6092,-12.5219,-46.4514,-77.2661,737.453,246.851
123,0,25.4495,25.7199,-66.8254,75.6696,-12.5676,-46.4169,-77.4296,737.513,246.731
124,0,25.4066,25.6531,-66.7553,75.6918,-12.5994,-46.423,-77.6158,737.52,246.583
125,0,25.3939,25.616,-66.7121,75.7199,-12.6346,-46.4018,-77.7695,737.513,246.45
126,0,25.3799,25.5659,-66.6568,75.7482,-12.6598,-46.3786,-77.9159,737.485,246.338
127,0,25.3686,25.5121,-66.601,75.7808,-12.6911,-46.3548,-78.0511,737.459,246.224
128,0,25.3667,25.4643,-66.5431,75.8306,-12.7213,-46.3334,-78.1763,737.435,246.094
129,0,25.3419,25.3885,-66.4643,75.8879,-12.7645,-46.2995,-78.2833,737.42,245.929
130,0,25.3316,25.3274,-66.3883,75.9482,-12.7934,-46.2729,-78.4098,737.409,245.763
131,0,25.3096,25.2503,-66.3013,76.0008,-12.8256,-46.2526,-78.5013,737.368,245.587
132,0,25.274,25.1624,-66.1891,76.0534,-12.8525,-46.225,-78.5896,737.293,245.43
133,0,25.2509,25.0823,-66.0912,76.0938,-12.8717,-46.1966,-78.6684,737.172,245.265
134,0,25.2079,24.973,-65.9615,76.1197,-12.8704,-46.1703,-78.7587,737.028,245.087
135,0,25.1835,24.8785,-65.8476,76.1297,-12.861,-46.15,-78.8471,736.831,244.858
136,0,25.1624,24.787,-65.715,76.1634,-12.8499,-46.1329,-78.9144,736.611,244.625
137,0,25.1326,24.6715,-65.5774,76.2045,-12.8382,-46.1175,-78.9608,736.366,244.413
138,0,25.0975,24.5497,-65.4307,76.2611,-12.8351,-46.0953,-78.9774,736.058,244.213
139,0,25.0549,24.4089,-65.2774,76.3186,-12.8369,-46.0683,-78.9618,735.693,244.014
140,0,25.0087,24.2648,-65.0852,76.4059,-12.8198,-46.0384,-78.9409,735.324,243.829
141,0,24.9697,24.1107,-64.9059,76.4748,-12.8037,-46.0086,-78.9224,734.927,243.609
142,0,24.9038,23.9297,-64.6773,76.5629,-12.7707,-45.9882,-78.9013,734.526,243.382
143,0,24.8582,23.7711,-64.4901,76.625,-12.7345,-45.9653,-78.8954,734.046,243.097
144,0,24.8236,23.628,-64.3034,76.6927,-12.6987,-45.9524,-78.8476,733.521,242.788
145,0,24.7778,23.4742,-64.106,76.758,-12.6542,-45.9397,-78.7859,732.92,242.457
146,0,24.7515,23.3414,-63.9389,76.8174,-12.5924,-45.9351,-78.7102,732.258,242.151
147,0,24.6946,23.1875,-63.7693,76.8646,-12.544,-45.9209,-78.6093,731.498,241.836
148,0,24.6318,23.016,-63.5777,76.917,-12.4743,-45.9229,-78.5315,730.758,241.54
149,0,24.5862,22.8729,-63.4032,76.9861,-12.42,-45.9144,-78.4015,729.994,241.232
150,0,24.5338,22.7239,-63.2304,77.0498,-12.3741,-45.9146,-78.2877,729.219,240.91
151,0,24.479,22.5708,-63.0463,77.1377,-12.3091,-45.9071,-78.1827,728.438,240.591
152,0,24.441,22.4395,-62.8887,77.2191,-12.2519,-45.9079,-78.0723,727.648,240.27
153,0,24.3771,22.2905,-62.7085,77.3081,-12.1908,-45.9135,-77.9552,726.83,239.97
154,0,24.3308,22.1699,-62.5529,77.3919,-12.1136,-45.9231,-77.8316,726.044,239.687
155,0,24.2855,22.0544,-62.4161,77.4659,-12.0436,-45.9212,-77.69,725.257,239.405
156,0,24.2371,21.9408,-62.2824,77.535,-11.9853,-45.9383,-77.5393,724.499,239.125
157,0,24.2023,21.817,-62.1255,77.6268,-11.8861,-45.9518,-77.4305,723.86,238.877
158,0,24.1678,21.7128,-62.0168,77.6749,-11.8125,-45.9585,-77.3268,723.182,238.589
159,0,24.1357,21.5998,-61.9004,77.7338,-11.7418,-45.963,-77.2157,722.559,238.367
160,0,24.112,21.5103,-61.7975,77.7983,-11.6966,-45.9422,-77.0846,721.984,238.172
161,0,24.0622,21.391,-61.6599,77.8641,-11.6306,-45.9355,-76.9699,721.507,237.992
162,0,24.0292,21.3065,-61.5565,77.9189,-11.5797,-45.9341,-76.8373,721.086,237.821
